tenure_years,monthly_hours,performance_rating,department,work_arrangement,attrition
1,228,2,sales,office,leave
2,215,2,sales,office,leave
1,238,1,support,office,leave
3,221,2,operations,hybrid,leave
2,232,2,support,office,leave
4,218,2,sales,office,leave
1,245,1,operations,office,leave
3,226,2,support,hybrid,leave
2,212,2,sales,remote,leave
5,220,2,operations,office,leave
1,235,1,support,office,leave
4,214,2,sales,hybrid,leave
2,224,2,operations,office,leave
3,230,1,support,office,leave
1,219,2,sales,office,leave
5,225,2,operations,hybrid,leave
2,240,1,support,office,leave
3,217,2,sales,office,leave
4,229,2,operations,office,leave
1,233,1,support,hybrid,leave
6,205,3,sales,office,leave
2,210,2,operations,office,leave
3,213,2,support,office,leave
4,208,2,sales,hybrid,leave
1,242,2,operations,office,leave
6,178,4,engineering,remote,stay
8,171,4,engineering,hybrid,stay
4,182,3,finance,hybrid,stay
10,168,5,engineering,remote,stay
7,176,4,product,hybrid,stay
5,185,3,finance,office,stay
9,174,4,engineering,remote,stay
3,190,3,product,hybrid,stay
11,169,5,finance,remote,stay
6,181,4,engineering,office,stay
8,177,4,product,remote,stay
4,188,3,finance,hybrid,stay
12,172,5,engineering,remote,stay
7,183,4,product,office,stay
5,179,4,finance,hybrid,stay
9,175,5,engineering,remote,stay
3,186,3,product,hybrid,stay
10,170,4,finance,remote,stay
6,184,3,engineering,office,stay
8,176,4,product,hybrid,stay
4,191,3,finance,office,stay
11,173,5,engineering,remote,stay
7,180,4,product,hybrid,stay
5,187,3,finance,office,stay
9,178,4,engineering,remote,stay
3,192,3,product,office,stay
10,174,5,finance,hybrid,stay
6,182,4,engineering,remote,stay
8,179,4,product,office,stay
4,189,3,finance,hybrid,stay
12,171,5,engineering,remote,stay
7,181,4,product,hybrid,stay
5,186,3,finance,office,stay
9,177,4,engineering,remote,stay
3,193,3,product,hybrid,stay
